year,day_start,day_end,mean,average_for_last_5,RF_pred
2020,245,250,2.561917018,2.561917018,2.561917018
2020,250,255,2.598622893,2.598622893,2.598622893
2020,255,260,2.409645495,2.409645495,2.409645495
2020,260,265,2.660141857,2.660141857,2.660141857
2020,265,270,2.319898569,2.319898569,2.319898569
2020,270,275,2.645472227,2.645472227,2.645472227
2020,275,280,2.768076351,2.768076351,2.768076351
2020,280,285,2.701197746,2.701197746,2.701197746
2020,285,290,2.732852509,2.732852509,2.732852509
2020,290,295,2.755317123,2.755317123,2.755317123
2020,295,300,2.61330742,2.61330742,2.61330742
2020,300,305,2.728805716,2.728805716,2.728805716
2020,305,310,,2.706296103,2.532043644
2020,310,315,,2.707315774,2.725111673
2020,315,320,,2.702208427,3.056258126
2020,320,325,,2.691586688,3.011989543
2020,325,330,,2.707242542,2.948087476
2020,330,335,,2.702929907,2.80697297
2020,335,340,,2.702256667,2.671595319
2020,340,345,,2.701244846,2.466261815
2020,345,350,,2.70105213,2.554687915
2020,350,355,,2.702945218,2.520266874
2020,355,360,,2.702085754,2.514259353
