date,total_emission_MtCO2eq
2/13/2020,8.228445824
2/14/2020,8.416286059
2/15/2020,8.324974834
2/16/2020,8.471072794
2/17/2020,8.730222747
2/18/2020,8.882408122
2/19/2020,9.25634933
2/20/2020,8.8676244
2/21/2020,8.816316188
2/22/2020,8.805010988
2/23/2020,8.449332026
2/24/2020,9.045029066
2/25/2020,9.368531692
2/26/2020,9.57376454
2/27/2020,9.518108175
2/28/2020,9.892049382
3/1/2020,8.680857345
3/2/2020,9.157484796
3/3/2020,9.185474663
3/4/2020,9.225460187
3/5/2020,8.875186994
3/6/2020,9.429386362
3/7/2020,8.958356884
3/8/2020,8.742435053
3/9/2020,9.415791283
3/10/2020,9.226259898
3/11/2020,9.150287402
3/12/2020,9.091108825
3/13/2020,9.307030657
3/14/2020,9.201468873
3/15/2020,9.089509404
3/16/2020,9.493363201
3/17/2020,9.391000258
3/18/2020,8.955957753
3/19/2020,9.283039343
3/20/2020,9.465373334
3/21/2020,9.546144093
3/22/2020,9.243853529
3/23/2020,9.873225683
3/24/2020,9.618917747
3/25/2020,9.323024867
3/26/2020,9.927605996
3/27/2020,9.731676926
3/28/2020,9.850034078
3/29/2020,9.981986309
3/30/2020,10.16911856
3/31/2020,10.1259342
4/1/2020,10.28024285
4/2/2020,10.34937805
4/3/2020,10.16046211
4/4/2020,8.894323343
4/5/2020,9.597733767
4/6/2020,10.03023069
4/7/2020,10.20146088
4/8/2020,10.20467648
4/9/2020,10.00209427
4/10/2020,10.16608939
4/11/2020,9.741631442
4/12/2020,9.465894556
4/13/2020,10.10820876
4/14/2020,10.30194809
4/15/2020,9.786649709
4/16/2020,9.584871405
4/17/2020,9.997270887
4/18/2020,10.03425018
4/19/2020,9.227136961
4/20/2020,9.659633884
4/21/2020,10.04711254
4/22/2020,9.797100378
4/23/2020,9.699024868
4/24/2020,9.519755697
4/25/2020,9.567185657
4/26/2020,9.936174668
4/27/2020,10.09856199
4/28/2020,9.641948136
4/29/2020,10.07444506
4/30/2020,9.925723999
5/1/2020,8.698356651
5/2/2020,8.789484556
5/3/2020,9.600126704
5/4/2020,10.28160495
5/5/2020,10.27368079
5/6/2020,10.27051112
5/7/2020,10.50744367
5/8/2020,10.48287876
5/9/2020,10.75388522
5/10/2020,9.97256249
5/11/2020,9.602503954
5/12/2020,9.877472502
5/13/2020,10.09142498
5/14/2020,10.36163902
5/15/2020,10.551819
5/16/2020,10.3077547
5/17/2020,9.812494344
5/18/2020,9.86875592
5/19/2020,10.61441991
5/20/2020,10.83946621
5/21/2020,10.29111395
5/22/2020,10.45831385
5/23/2020,10.44088068
5/24/2020,10.26258695
5/25/2020,10.52012234
5/26/2020,10.39254327
5/27/2020,10.31884853
5/28/2020,10.21028746
5/29/2020,9.988410822
5/30/2020,9.859246921
5/31/2020,9.670651778
6/1/2020,9.9896801
6/2/2020,10.34705671
6/3/2020,10.51410016
6/4/2020,11.12284503
6/5/2020,11.28587302
6/6/2020,10.5092816
6/7/2020,10.15431427
6/8/2020,10.79197051
6/9/2020,11.25535546
6/10/2020,11.2633864
6/11/2020,11.42641438
6/12/2020,11.43042985
6/13/2020,11.35734834
6/14/2020,10.91163144
6/15/2020,11.448901
6/16/2020,11.19110798
6/17/2020,11.1019646
6/18/2020,10.95901396
6/19/2020,10.7566344
6/20/2020,10.19527204
6/21/2020,10.00975744
6/22/2020,10.76787771
6/23/2020,10.91163144
6/24/2020,10.68355289
6/25/2020,9.437954862
6/26/2020,10.18965038
6/27/2020,10.88914482
6/28/2020,10.8425654
6/29/2020,10.73976943
6/30/2020,10.99274389
7/1/2020,11.10124153
7/2/2020,10.89179917
7/3/2020,10.7811053
7/4/2020,10.45380184
7/5/2020,10.08508772
7/6/2020,10.94993336
7/7/2020,11.45084304
7/8/2020,11.36244722
7/9/2020,11.1522085
7/10/2020,10.88383558
7/11/2020,10.7269529
7/12/2020,10.37177688
7/13/2020,10.98895494
7/14/2020,11.41739597
7/15/2020,11.12433594
7/16/2020,10.99293674
7/17/2020,11.0032894
7/18/2020,10.9125045
7/19/2020,10.59635006
7/20/2020,10.89976276
7/21/2020,11.09487066
7/22/2020,11.26768052
7/23/2020,11.6332092
7/24/2020,11.82990983
7/25/2020,11.64356187
7/26/2020,10.87348292
7/27/2020,11.39111613
7/28/2020,11.71045601
7/29/2020,12.04174126
7/30/2020,12.13650796
7/31/2020,12.04014855
8/1/2020,11.64071127
8/2/2020,11.58004515
8/3/2020,12.66245648
8/4/2020,12.71434198
8/5/2020,12.79416583
8/6/2020,12.89793682
8/7/2020,12.76782396
8/8/2020,12.41420433
8/9/2020,12.32879281
8/10/2020,12.90272625
8/11/2020,13.13661012
8/12/2020,12.70715784
8/13/2020,12.52356299
8/14/2020,12.9617959
8/15/2020,12.86680552
8/16/2020,12.6337199
8/17/2020,13.42557244
8/18/2020,13.29226662
8/19/2020,12.68081597
8/20/2020,12.02785692
8/21/2020,11.84506031
8/22/2020,11.80594663
8/23/2020,11.84186736
8/24/2020,12.41101137
8/25/2020,12.70157017
8/26/2020,12.19788171
8/27/2020,11.82350787
8/28/2020,12.04222521
8/29/2020,12.00790096
8/30/2020,11.86820923
8/31/2020,12.24817073
9/1/2020,11.91489791
9/2/2020,11.54036899
9/3/2020,11.10918864
9/4/2020,10.99824625
9/5/2020,10.78737703
9/6/2020,10.83379973
9/7/2020,11.15561134
9/8/2020,11.10368086
9/9/2020,11.44122898
9/10/2020,10.9439553
9/11/2020,10.5733605
9/12/2020,10.52772463
9/13/2020,10.29010334
9/14/2020,10.82278417
9/15/2020,9.515271546
9/16/2020,9.698257537
9/17/2020,10.15572252
9/18/2020,10.06422952
9/19/2020,9.789750533
9/20/2020,10.06422952
9/21/2020,9.789750533
9/22/2020,9.240792559
9/23/2020,9.789750533
9/24/2020,9.515271546
9/25/2020,8.966313572
9/26/2020,9.332285555
9/27/2020,10.24721551
9/28/2020,9.881243529
9/29/2020,10.5216945
9/30/2020,10.79617349
10/1/2020,8.410020532
10/2/2020,6.173312943
10/3/2020,6.799591068
10/4/2020,8.052147317
10/5/2020,8.410020532
10/6/2020,8.052147317
10/7/2020,8.141615621
10/8/2020,7.87321071
10/9/2020,7.87321071
10/10/2020,8.857362049
10/11/2020,9.573108477
10/12/2020,8.499488835
10/13/2020,9.841513388
10/14/2020,10.28885491
10/15/2020,10.73619642
10/16/2020,11.09406964
10/17/2020,10.82566473
10/18/2020,10.28885491
10/19/2020,9.752045085
10/20/2020,9.841513388
10/21/2020,10.02045
10/22/2020,11.36247455
10/23/2020,11.00460133
10/24/2020,10.64672812
10/25/2020,10.55725982
10/26/2020,10.46779151
10/27/2020,10.91513303
10/28/2020,10.73619642
10/29/2020,10.64672812
10/30/2020,10.55725982
10/31/2020,10.55725982
11/1/2020,10.41423652
11/2/2020,9.194551159
11/3/2020,10.41423652
11/4/2020,9.663660912
11/5/2020,10.60188042
11/6/2020,10.78952432
11/7/2020,11.72774382
11/8/2020,11.44627797
11/9/2020,10.50805847
11/10/2020,10.88334627
11/11/2020,12.00920968
11/12/2020,12.19685358
11/13/2020,11.91538773
11/14/2020,12.38449748
11/15/2020,11.72774382
11/16/2020,12.10303163
11/17/2020,12.85360723
11/18/2020,12.94742918
11/19/2020,12.10303163
11/20/2020,12.10303163
11/21/2020,12.66596333
11/22/2020,12.75978528
11/23/2020,12.94742918
11/24/2020,12.75978528
11/25/2020,14.07329259
11/26/2020,12.47831943
11/27/2020,12.00920968
11/28/2020,11.72774382
11/29/2020,11.35245602
11/30/2020,11.63392187
12/1/2020,13.09598973
12/2/2020,13.52536644
12/3/2020,13.7400548
12/4/2020,13.52536644
12/5/2020,12.98864555
12/6/2020,13.7400548
12/7/2020,13.7400548
12/8/2020,13.09598973
12/9/2020,13.63271062
12/10/2020,13.20333391
12/11/2020,13.7400548
12/12/2020,13.41802227
12/13/2020,12.98864555
12/14/2020,12.88130137
12/15/2020,13.7400548
12/16/2020,13.31067809
12/17/2020,13.41802227
12/18/2020,13.52536644
12/19/2020,13.63271062
12/20/2020,13.84739898
12/21/2020,12.88130137
12/22/2020,13.55086069
12/23/2020,13.69340302
12/24/2020,13.78103881
12/25/2020,13.76660101
12/26/2020,13.67503643
12/27/2020,13.86803053
12/28/2020,13.88897338
12/29/2020,13.7624468
12/30/2020,13.89802249
12/31/2020,13.81476635
